Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
2018-08-02T00:00:00.000,2007,18582,135,1831,319,1143,333,91,312,422,908,125,1288,256,993,1388,233,3459,2183,221,164,939,480,427,513,419
2018-08-02T00:00:00.000,2008,13018,81,974,1080,1528,252,91,196,596,706,249,619,184,636,947,105,1476,1306,183,44,555,315,317,348,230
2018-08-02T00:00:00.000,2012,15217,38,1595,730,695,276,28,315,701,671,79,1004,114,751,1686,31,3981,953,184,15,605,176,167,327,95
2018-08-02T00:00:00.000,2003,29914,107,3001,695,2599,791,260,1065,1089,1244,287,1837,334,1976,1479,429,4428,2938,318,230,1094,522,1105,1068,1018
2018-08-02T00:00:00.000,2009,11123,138,1175,341,1021,260,44,180,236,714,93,839,159,773,1473,117,862,1259,152,125,469,205,165,200,123
2018-08-02T00:00:00.000,2001,29059,80,2492,195,3153,886,176,1390,940,1368,117,1983,286,1844,1327,347,5249,3049,507,45,549,365,986,871,854
2018-08-02T00:00:00.000,2000,30358,79,3078,257,2707,931,154,1459,768,1233,109,2747,253,1702,2182,334,4950,3456,419,27,1163,339,721,480,810
2018-08-02T00:00:00.000,2002,29293,103,2359,293,2706,928,174,1654,968,1470,179,1578,333,1883,1547,394,5013,2563,549,74,914,387,1235,841,1148
2018-08-02T00:00:00.000,2010,11931,122,1711,369,1230,222,67,195,364,576,156,939,95,771,1151,61,1899,707,167,48,413,173,256,146,93
2018-08-02T00:00:00.000,2006,23262,120,1414,649,2217,305,194,511,405,1327,400,1300,287,1344,1567,194,3031,3033,431,135,759,578,908,1082,1071
2018-08-02T00:00:00.000,2015,17057,49,2656,1293,1312,332,46,319,109,1214,36,1303,224,923,1593,25,2080,1757,168,181,641,73,320,137,266
2018-08-02T00:00:00.000,2013,17918,46,1851,1257,1102,221,39,429,225,1391,36,1220,68,926,2267,45,3514,1176,237,28,405,250,351,706,128
2018-08-02T00:00:00.000,2005,30180,114,2495,1256,1936,488,362,809,743,1309,490,1872,334,2659,1778,206,3591,3425,394,209,993,648,1945,1003,1121
2018-08-02T00:00:00.000,2011,13481,70,2360,989,487,223,29,183,304,717,52,644,93,801,1177,46,2512,1227,156,62,784,169,168,107,121
2018-08-02T00:00:00.000,2016,17044,41,2394,943,1293,236,85,294,78,869,81,1906,43,847,2154,28,2170,2060,145,25,698,50,200,171,233
2018-08-02T00:00:00.000,2017,16224,21,2406,438,1376,263,55,312,99,682,43,1893,67,886,1219,33,1637,2618,203,16,1164,74,308,129,282
2018-08-02T00:00:00.000,2014,16331,25,2441,821,1004,213,35,355,278,790,27,1311,85,860,1446,54,3839,1292,173,140,457,43,274,168,200
2018-08-02T00:00:00.000,2004,27382,120,2364,740,2103,525,316,1040,811,1000,423,1773,355,1836,1837,221,3821,1948,362,185,1384,625,1368,1000,1225
